公司全称,网址,简称,行业,地址,市值,注册资本,状态,类型,注册时间,证券类别,市值_亿
北京百度网讯科技有限公司,https://top.chinaz.com/company/BaiDu.html,百度,IT/互联网/通信,北京,市值：2172.46亿,89000.000000万人民币 ,开业,有限责任公司(自然人投资或控股),2001-06-05,中概股,2172.46
阿里巴巴（中国）有限公司,https://top.chinaz.com/company/ALiBaBa.html,阿里巴巴,IT/互联网/通信,浙江,市值：16095.01亿,15298.000000万美元 ,存续,有限责任公司（台港澳法人独资）,2007-03-26,中概股,16095.01
北京智者天下科技有限公司,https://top.chinaz.com/company/zhihu.html,知乎,IT/互联网/通信,北京,市值：69.0亿,169.193000万人民币 ,开业,有限责任公司(自然人投资或控股),2011-06-08,,69.0
北京搜狐互联网信息服务有限公司,https://top.chinaz.com/company/SouHuHuLian.html,搜狐互联,IT/互联网/通信,北京,市值：31.46亿,2000万元人民币 ,开业,有限责任公司(法人独资),2003-07-31,中概股,31.46
北京新浪互联信息服务有限公司,https://top.chinaz.com/company/XinLang.html,新浪,IT/互联网/通信,北京,市值：178.36亿,12000万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),1999-10-28,中概股,178.36
上海东方报业有限公司,https://top.chinaz.com/company/DongFangBaoYe.html,东方报业,广告/商务服务/文化传媒,上海,市值：2.21亿,22130万人民币 ,存续（在营、开业、在册）,有限责任公司（法人独资）,2012-06-26,,2.21
上海证大喜马拉雅网络科技有限公司,https://top.chinaz.com/company/ZhengDaXiMaLaYa.html,证大喜马拉雅,IT/互联网/通信,上海,市值：7181.72万,7181.7163万人民币 ,存续（在营、开业、在册）,有限责任公司,2012-08-01,,0.718172
广东太平洋互联网信息服务有限公司,https://top.chinaz.com/company/GuangDongTaiPingYang.html,太平洋网络,IT/互联网/通信,广东,市值：3.8亿,1000万人民币元 ,存续,有限责任公司(法人独资),2002-11-27,港股,3.8
北京六智信息技术股份有限公司,https://top.chinaz.com/company/LiuZhiXinXi.html,六智信息,IT/互联网/通信,北京,市值：2.96亿,800万元 ,开业,股份有限公司(非上市、自然人投资或控股),2006-10-12,新三板,2.96
厦门企兴网络科技有限公司,https://top.chinaz.com/company/XiaMenQiXing.html,厦门企兴,IT/互联网/通信,福建,市值：100.0万,100.000000万人民币 ,存续（在营、开业、在册）,有限责任公司,2014-12-10,,0.01
北京豆网科技有限公司,https://top.chinaz.com/company/DouWangKeJi.html,豆网科技,IT/互联网/通信,北京,市值：1.0亿,10000万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人独资),2006-11-03,,1.0
吉林省春雨秋风科技有限公司,https://top.chinaz.com/company/ChunYuQiuFeng.html,春雨秋风,IT/互联网/通信,吉林,市值：500.0万,500万人民币 ,存续（在营、开业、在册）,有限责任公司(自然人独资),2014-12-22,,0.05
北京爱奇艺科技有限公司,https://top.chinaz.com/company/AiQiYi.html,爱奇艺,IT/互联网/通信,北京,市值：340.0亿,3000万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人独资),2007-03-27,,340.0
北京无忧世纪科技有限公司,https://top.chinaz.com/company/WuYouShiJi.html,无忧世纪,教育,北京,市值：100.0万,100.000000万人民币 ,开业,有限责任公司(自然人投资或控股),2004-06-23,,0.01
上海词海信息技术有限公司,https://top.chinaz.com/company/CiHai.html,词海,IT/互联网/通信,上海,市值：500.0万,500.000000万人民币 ,存续（在营、开业、在册）,有限责任公司（自然人投资或控股的法人独资）,2009-09-07,,0.05
