序号,Shape *,名称,方位,最近地铁站,直线距离,通行距离,步行时间（分钟）,骑行时间（分钟）,驾车（分钟）
1,点,万丰路一十八号,南1,六里桥地铁站,798.751511,1089.630904,18.16051507,3.632103013,1.251595151
2,点,莲宝路10号院,南2,六里桥地铁站,791.620479,1160.211914,19.33686523,3.867373047,1.54360223
3,点,万丰路一十八号,北3,六里桥地铁站,945.063741,1330.122657,22.16871095,4.43374219,1.365931007
4,点,莲宝路10号院,东4,六里桥地铁站,804.002615,1097.458523,18.29097538,3.658195077,1.606357936
5,点,莲宝路10号院,东5,六里桥地铁站,843.845713,1069.857538,17.83095897,3.566191793,1.676352903
6,点,莲宝路10号院,北6,六里桥地铁站,934.614898,1253.425516,20.89042527,4.178085053,1.470174631
7,点,莲宝路七号院,南7,六里桥地铁站,895.709091,1097.991712,18.29986187,3.659972373,1.609167908
8,点,海淀九号,南8,六里桥地铁站,962.388569,1260.180982,21.00301637,4.200603273,1.480241531
9,点,吴家场铁路小区,南9,六里桥地铁站,895.396261,963.289669,16.05482782,3.210965563,1.698972343
10,点,海淀九号,东10,六里桥地铁站,988.305649,1226.125924,20.43543207,4.087086413,1.726798065
11,点,海淀九号,北11,六里桥地铁站,1091.973482,1423.083882,23.7180647,4.74361294,1.669804968
12,点,吴家场铁路小区,东12,莲花桥地铁站,935.161205,1194.868366,19.91447277,3.982894553,1.776490568
13,点,莲宝路七号院,北13,六里桥地铁站,1036.884664,1342.931282,22.38218803,4.476437607,2.044457222
14,点,莲花小区,南14,莲花桥地铁站,496.08358,1049.515688,17.49192813,3.498385627,1.072959937
15,点,莲花小区,南15,莲花桥地铁站,289.817013,1288.61295,21.4768825,4.2953765,1.232363676
16,点,莲花小区,西16,莲花桥地铁站,664.010931,784.212591,13.07020985,2.61404197,0.896085039
17,点,莲花小区,东17,莲花桥地铁站,244.078134,405.563415,6.75939025,1.35187805,0.540922591
18,点,吴家场经济适用房,西18,莲花桥地铁站,1056.652351,1138.279617,18.97132695,3.79426539,1.302903638
19,点,莲花小区,北19,莲花桥地铁站,520.601447,579.990165,9.66650275,1.93330055,0.572044613
