name,cityname,adname,address,type1,type2,type3,lon,lat
南越国木构水闸遗址(光明广场),广州市,越秀区,西湖路63号光明广场B1层,风景名胜,风景名胜,世界遗产,113.267333,23.122243
明园,广州市,越秀区,惠福东路12-14,风景名胜,风景名胜,风景名胜,113.297173,23.118916
越秀公园,广州市,越秀区,解放北路988号,风景名胜,风景名胜,公园,113.265609,23.140149
南越国宫署遗址,广州市,越秀区,中山四路316号,科教文化服务,博物馆,博物馆,113.269907,23.126822
广州英雄纪念碑,广州市,越秀区,大沙头三马路18号,风景名胜,风景名胜,纪念馆,113.281948,23.116197
广州珠江游,广州市,越秀区,沿江东路466号大沙头游船码头,风景名胜,风景名胜,旅游景点,113.285494,23.112417
都城隍庙,广州市,越秀区,城隍庙路29号,风景名胜,风景名胜,寺庙道观,113.271067,23.126589
毛泽东同志主办农民运动讲习所旧址,广州市,越秀区,中山三路东风中路西北角,风景名胜,风景名胜,纪念馆,113.276583,23.126979
隅园,广州市,越秀区,文德北路208号,风景名胜,风景名胜,纪念馆,113.300797,23.121455
中山纪念堂,广州市,越秀区,东风中路120号,风景名胜,风景名胜,纪念馆,113.264692,23.13286
广州动物园,广州市,越秀区,先烈中路120号,风景名胜,公园广场,动物园,113.305371,23.140819
大佛寺,广州市,越秀区,长寿路宿舍街21号,风景名胜,风景名胜,寺庙道观,113.268027,23.122373
基督教光孝堂,广州市,越秀区,光孝路29号,风景名胜,风景名胜,教堂,113.2587,23.126189
中华全国总工会旧址,广州市,越秀区,越秀南路89号,风景名胜,风景名胜,纪念馆,113.277848,23.119338
