日期,大棚内最高气温,大棚内最低气温
2023/9/1,36℃,28℃
2023/9/2,35℃,29℃
2023/9/3,32℃,27℃
2023/9/4,35℃,29℃
2023/9/5,37℃,30℃
2023/9/6,34℃,30℃
2023/9/7,38℃,30℃
2023/9/8,40℃,30℃
2023/9/9,41℃,30℃
2023/9/10,41℃,31℃
2023/9/11,41℃,30℃
2023/9/12,32℃,27℃
2023/9/13,29℃,26℃
2023/9/14,31℃,25℃
2023/9/15,35℃,26℃
2023/9/16,36℃,29℃
2023/9/17,40℃,30℃
2023/9/18,41℃,31℃
2023/9/19,41℃,31℃
2023/9/20,34℃,27℃
2023/9/21,28℃,24℃
2023/9/22,27℃,24℃
2023/9/23,31℃,25℃
2023/9/24,32℃,25℃
2023/9/25,31℃,26℃
2023/9/26,29℃,26℃
2023/9/27,34℃,26℃
2023/9/28,34℃,27℃
2023/9/29,35℃,28℃
2023/9/30,35℃,28℃
2023/10/1,30℃,27℃
2023/10/2,31℃,25℃
2023/10/3,28℃,22℃
2023/10/4,27℃,23℃
2023/10/5,27℃,23℃
2023/10/6,28℃,21℃
2023/10/7,24℃,21℃
2023/10/8,25℃,21℃
2023/10/9,25℃,22℃
2023/10/10,28℃,21℃
2023/10/11,30℃,22℃
2023/10/12,28℃,23℃
2023/10/13,27℃,22℃
2023/10/14,28℃,20℃
2023/10/15,32℃,21℃
2023/10/16,35℃,18℃
2023/10/17,36℃,21℃
2023/10/18,36℃,24℃
2023/10/19,30℃,20℃
2023/10/20,26℃,18℃
2023/10/21,30℃,17℃
2023/10/22,31℃,19℃
2023/10/23,32℃,19℃
2023/10/24,34℃,24℃
2023/10/25,29℃,24℃
2023/10/26,26℃,23℃
2023/10/27,27℃,24℃
2023/10/28,28℃,22℃
2023/10/29,30℃,20℃
2023/10/30,32℃,21℃
2023/10/31,33℃,18℃
2023/11/1,35℃,21℃
2023/11/2,35℃,23℃
2023/11/3,35℃,20℃
2023/11/4,27℃,20℃
2023/11/5,30℃,20℃
2023/11/6,27℃,15℃
2023/11/7,28℃,18℃
2023/11/8,27℃,24℃
2023/11/9,25℃,21℃
2023/11/10,21℃,16℃
2023/11/11,14℃,12℃
2023/11/12,13℃,12℃
2023/11/13,15℃,10℃
2023/11/14,20℃,13℃
2023/11/15,21℃,16℃
2023/11/16,21℃,10℃
2023/11/17,24℃,11℃
2023/11/18,25℃,14℃
2023/11/19,26℃,14℃
2023/11/20,29℃,14℃
2023/11/21,30℃,16℃
2023/11/22,29℃,20℃
2023/11/23,28℃,15℃
2023/11/24,22℃,13℃
2023/11/25,21℃,13℃
2023/11/26,18℃,11℃
2023/11/27,26℃,13℃
2023/11/28,27℃,15℃
2023/11/29,28℃,13℃
2023/11/30,14℃,11℃
2023/12/1,19℃,13℃
2023/12/2,16℃,14℃
2023/12/3,15℃,13℃
2023/12/4,23℃,11℃
2023/12/5,24℃,14℃
2023/12/6,27℃,12℃
2023/12/7,28℃,15℃
2023/12/8,26℃,20℃
2023/12/9,26℃,20℃
2023/12/10,23℃,12℃
2023/12/11,12℃,8℃
2023/12/12,16℃,10℃
2023/12/13,18℃,15℃
2023/12/14,17℃,9℃
2023/12/15,10℃,6℃
2023/12/16,11℃,7℃
2023/12/17,9℃,6℃
2023/12/18,7℃,5℃
2023/12/19,9℃,5℃
2023/12/20,10℃,5℃
2023/12/21,12℃,2℃
2023/12/22,13℃,2℃
2023/12/23,14℃,3℃
2023/12/24,16℃,4℃
2023/12/25,20℃,7℃
2023/12/26,22℃,10℃
2023/12/27,21℃,10℃
2023/12/28,20℃,10℃
2023/12/29,19℃,12℃
2023/12/30,22℃,12℃
2023/12/31,23℃,10℃
