日期,最高气温,最低气温
2023/9/1,31℃,23℃
2023/9/2,30℃,24℃
2023/9/3,27℃,22℃
2023/9/4,30℃,24℃
2023/9/5,32℃,25℃
2023/9/6,29℃,25℃
2023/9/7,33℃,25℃
2023/9/8,35℃,25℃
2023/9/9,36℃,25℃
2023/9/10,36℃,26℃
2023/9/11,36℃,25℃
2023/9/12,27℃,22℃
2023/9/13,24℃,21℃
2023/9/14,26℃,20℃
2023/9/15,30℃,21℃
2023/9/16,31℃,24℃
2023/9/17,35℃,25℃
2023/9/18,36℃,26℃
2023/9/19,36℃,26℃
2023/9/20,29℃,22℃
2023/9/21,23℃,19℃
2023/9/22,22℃,19℃
2023/9/23,26℃,20℃
2023/9/24,27℃,20℃
2023/9/25,26℃,21℃
2023/9/26,24℃,21℃
2023/9/27,29℃,21℃
2023/9/28,29℃,22℃
2023/9/29,30℃,23℃
2023/9/30,30℃,23℃
2023/10/1,25℃,22℃
2023/10/2,26℃,20℃
2023/10/3,23℃,17℃
2023/10/4,22℃,18℃
2023/10/5,22℃,18℃
2023/10/6,23℃,16℃
2023/10/7,19℃,16℃
2023/10/8,20℃,16℃
2023/10/9,20℃,17℃
2023/10/10,23℃,16℃
2023/10/11,25℃,17℃
2023/10/12,23℃,18℃
2023/10/13,22℃,17℃
2023/10/14,23℃,15℃
2023/10/15,27℃,16℃
2023/10/16,30℃,13℃
2023/10/17,31℃,16℃
2023/10/18,31℃,19℃
2023/10/19,25℃,15℃
2023/10/20,21℃,13℃
2023/10/21,25℃,12℃
2023/10/22,26℃,14℃
2023/10/23,27℃,14℃
2023/10/24,29℃,19℃
2023/10/25,24℃,19℃
2023/10/26,21℃,18℃
2023/10/27,22℃,19℃
2023/10/28,23℃,17℃
2023/10/29,25℃,15℃
2023/10/30,27℃,16℃
2023/10/31,28℃,13℃
2023/11/1,30℃,16℃
2023/11/2,30℃,18℃
2023/11/3,30℃,15℃
2023/11/4,22℃,15℃
2023/11/5,25℃,15℃
2023/11/6,22℃,10℃
2023/11/7,23℃,13℃
2023/11/8,22℃,19℃
2023/11/9,20℃,16℃
2023/11/10,16℃,11℃
2023/11/11,9℃,7℃
2023/11/12,8℃,7℃
2023/11/13,10℃,5℃
2023/11/14,15℃,8℃
2023/11/15,16℃,11℃
2023/11/16,16℃,5℃
2023/11/17,19℃,6℃
2023/11/18,20℃,9℃
2023/11/19,21℃,9℃
2023/11/20,24℃,9℃
2023/11/21,25℃,11℃
2023/11/22,24℃,15℃
2023/11/23,23℃,10℃
2023/11/24,17℃,8℃
2023/11/25,16℃,8℃
2023/11/26,13℃,6℃
2023/11/27,21℃,8℃
2023/11/28,22℃,10℃
2023/11/29,23℃,8℃
2023/11/30,9℃,6℃
2023/12/1,14℃,8℃
2023/12/2,11℃,9℃
2023/12/3,10℃,8℃
2023/12/4,18℃,6℃
2023/12/5,19℃,9℃
2023/12/6,22℃,7℃
2023/12/7,23℃,10℃
2023/12/8,21℃,15℃
2023/12/9,21℃,15℃
2023/12/10,18℃,7℃
2023/12/11,7℃,3℃
2023/12/12,11℃,5℃
2023/12/13,13℃,10℃
2023/12/14,12℃,4℃
2023/12/15,5℃,1℃
2023/12/16,6℃,2℃
2023/12/17,4℃,1℃
2023/12/18,2℃,0℃
2023/12/19,4℃,0℃
2023/12/20,5℃,0℃
2023/12/21,7℃,-3℃
2023/12/22,8℃,-3℃
2023/12/23,9℃,-2℃
2023/12/24,11℃,-1℃
2023/12/25,15℃,2℃
2023/12/26,17℃,5℃
2023/12/27,16℃,5℃
2023/12/28,15℃,5℃
2023/12/29,14℃,7℃
2023/12/30,17℃,7℃
2023/12/31,18℃,5℃
