国家/地区,确诊病例
美国,1467820
俄国,272043
英国,241461
巴西,233511
西班牙,230698
意大利,224760
法国,179630
德国,175752
土尔其,148067
伊朗,118392
印度,90648
秘鲁,88541
中国,84044
加拿大,77206
比利时,54989
沙特阿拉伯,52016
墨西哥,47144
荷兰,44070
智利,41428
巴基斯坦,38799
厄瓜多尔,32763
卡塔尔,30972
瑞士,30572
瑞典,29677
葡萄牙,28810
白俄罗斯,28681
新加坡,27356
爱尔兰,24048
阿拉伯联合酋长国,22627
孟加拉国,20995
波兰,18257
乌克兰,17858
印度尼西亚,17025
罗马尼亚,16704
以色列,16608
日本,16237
奥地利,16201
哥伦比亚,14939
南非,14355
科威特,13802
菲律宾,12305
多明尼加共和国,12110
埃及,11719
丹麦,11056
韩国,11050
塞尔维亚,10496
巴拿马,9449
捷克,8455
挪威,8237
阿根廷,7805
澳大利亚,7044
马来西亚,6872
阿尔及利亚,6821
巴林,6747
摩洛哥,6741
阿富汗,6402
芬兰,6286
摩尔多瓦,5934
哈萨克斯坦,5850
加纳,5735
奈及利亚,5621
阿曼,5029
亚美尼亚,4283
卢森堡,3930
玻利维亚,3826
匈牙利,3473
伊拉克,3260
阿塞拜疆,3138
喀麦隆,3105
泰国,3025
希腊,2819
乌兹别克斯坦,2738
几内亚,2658
洪都拉斯,2565
塞内加尔,2429
苏丹,2289
波黑,2267
克罗地亚,2224
保加利亚,2175
科特迪瓦,2061
古巴,1862
冰岛,1802
爱沙尼亚,1770
危地马拉,1763
北马其顿,1762
立陶宛,1534
新西兰,1499
斯洛伐克,1493
斯洛文尼亚,1465
刚果（金沙萨）,1455
索马里,1357
吉布地,1331
塔吉克斯坦,1322
加蓬,1320
萨尔瓦多,1265
吉尔吉斯斯坦,1117
马尔代夫,1078
突尼斯,1037
拉脱维亚,997
Guinea-Bissau,969
斯里兰卡,960
科索沃,944
阿尔巴尼亚,933
塞浦路斯,914
黎巴嫩,902
尼日尔,889
哥斯达黎加,853
马里,835
肯尼亚,830
布基纳法索,782
巴拉圭,778
安道尔,761
乌拉圭,733
钻石公主,712
格鲁吉亚,683
赞比亚,679
圣马力诺,653
约旦,607
赤道几内亚,594
马耳他,546
牙买加,517
坦桑尼亚,509
委内瑞拉,504
乍得,474
塞拉利昂,462
台湾,440
刚果（布拉柴维尔）,391
海地,358
毛里求斯,332
佛得角,328
黑山共和国,324
埃塞俄比亚,306
多哥,298
南苏丹,236
Sao Tome and Principe,235
利比里亚,223
缅甸,182
也门,122
圭亚那,117
特立尼达和多巴哥,116
巴哈马,96
摩纳哥,96
巴巴多斯,86
马拉维,65
利比亚,65
叙利亚,51
津巴布韦,42
毛里塔尼亚,40
尼加拉瓜,25
安巴,25
